_id,state,state force population
6034f5b8f7ff0dbf816fb1e1,Abia," 1,919,458"
6034f5b8f7ff0dbf816fb1e2,Adamawa,"1,445,800"
6034f5b8f7ff0dbf816fb1e3,Akwa Ibom,"3,217,171"
6034f5b8f7ff0dbf816fb1e4,Anambra,"3,009,646"
6034f5b8f7ff0dbf816fb1e5,Bauchi,"1,825,977"
6034f5b8f7ff0dbf816fb1e6,Bayelsa,"1,225,375"
6034f5b8f7ff0dbf816fb1e7,Benue,"2,368,743"
6034f5b8f7ff0dbf816fb1e8,Borno,"2,204,832"
6034f5b8f7ff0dbf816fb1e9,Cross River,"1,747,085"
6034f5b8f7ff0dbf816fb1ea,Delta,"2,852,244"
6034f5b8f7ff0dbf816fb1eb,Ebonyi,"1,397,158"
6034f5b8f7ff0dbf816fb1ec,Anambra,"3,009,646"
6034f5b8f7ff0dbf816fb1ed,Edo,"1,923,837"
6034f5b8f7ff0dbf816fb1ee,Ekiti,"1,676,724"
6034f5b8f7ff0dbf816fb1ef,Enugu,"2,296,296"
6034f5b8f7ff0dbf816fb1f0,Gombe,"816,956"
6034f5b8f7ff0dbf816fb1f1,Imo,"2,840,619"
6034f5b8f7ff0dbf816fb1f2,Jigawa,"1,369,716"
6034f5b8f7ff0dbf816fb1f3,Kaduna,"3,163,022"
6034f5b8f7ff0dbf816fb1f4,Kano,"3,604,743"
6034f5b8f7ff0dbf816fb1f5,Katsina,"1,667,1406"
6034f5b8f7ff0dbf816fb1f6,Kebbi,"1,434,057"
6034f5b8f7ff0dbf816fb1f7,Kogi,"2,252,143"
6034f5b8f7ff0dbf816fb1f8,Kwara,"1,467,465"
6034f5b8f7ff0dbf816fb1f9,Lagos,"6,909,301"
6034f5b8f7ff0dbf816fb1fa,Lagos,"6,909,301"
6034f5b8f7ff0dbf816fb1fb,Nasarawa,"1,236,654"
6034f5b8f7ff0dbf816fb1fc,Niger,"1,756,668"
6034f5b8f7ff0dbf816fb1fd,Ogun,"2,922,932"
6034f5b8f7ff0dbf816fb1fe,Ondo,"2,320,211"
6034f5b8f7ff0dbf816fb1ff,Osun,"2,296,230"
6034f5b8f7ff0dbf816fb200,Oyo,"3,792,840"
6034f5b8f7ff0dbf816fb201,Plateau,"1,885,617"
6034f5b8f7ff0dbf816fb202,Rivers,"4,175,796"
6034f5b8f7ff0dbf816fb203,Sokoto,"1,520,392"
6034f5b8f7ff0dbf816fb204,Taraba,"2,101,774"
6034f5b8f7ff0dbf816fb205,Yobe,"1,006,850"
6034f5b8f7ff0dbf816fb206,Zamfara,"1,361,270"
6034f5b8f7ff0dbf816fb207,"Fct, Abuja","1,579,381"
60398fd37997c2feb69bfe95,Abia," 1,919,458"
60398fd37997c2feb69bfe96,Adamawa,"1,445,800"
60398fd37997c2feb69bfe97,Akwa Ibom,"3,217,171"
60398fd37997c2feb69bfe98,Anambra,"3,009,646"
60398fd37997c2feb69bfe99,Bauchi,"1,825,977"
60398fd37997c2feb69bfe9a,Bayelsa,"1,225,375"
60398fd37997c2feb69bfe9b,Benue,"2,368,743"
60398fd37997c2feb69bfe9c,Borno,"2,204,832"
60398fd37997c2feb69bfe9d,Cross River,"1,747,085"
60398fd37997c2feb69bfe9e,Delta,"2,852,244"
60398fd37997c2feb69bfe9f,Ebonyi,"1,397,158"
60398fd37997c2feb69bfea0,Anambra,"3,009,646"
60398fd37997c2feb69bfea1,Edo,"1,923,837"
60398fd37997c2feb69bfea2,Ekiti,"1,676,724"
60398fd37997c2feb69bfea3,Enugu,"2,296,296"
60398fd37997c2feb69bfea4,Gombe,"816,956"
60398fd37997c2feb69bfea5,Imo,"2,840,619"
60398fd37997c2feb69bfea6,Jigawa,"1,369,716"
60398fd37997c2feb69bfea7,Kaduna,"3,163,022"
60398fd37997c2feb69bfea8,Kano,"3,604,743"
60398fd37997c2feb69bfea9,Katsina,"1,667,1406"
60398fd37997c2feb69bfeaa,Kebbi,"1,434,057"
60398fd37997c2feb69bfeab,Kogi,"2,252,143"
60398fd37997c2feb69bfeac,Kwara,"1,467,465"
60398fd37997c2feb69bfead,Lagos,"6,909,301"
60398fd37997c2feb69bfeae,Lagos,"6,909,301"
60398fd37997c2feb69bfeaf,Nasarawa,"1,236,654"
60398fd37997c2feb69bfeb0,Niger,"1,756,668"
60398fd37997c2feb69bfeb1,Ogun,"2,922,932"
60398fd37997c2feb69bfeb2,Ondo,"2,320,211"
60398fd37997c2feb69bfeb3,Osun,"2,296,230"
60398fd37997c2feb69bfeb4,Oyo,"3,792,840"
60398fd37997c2feb69bfeb5,Plateau,"1,885,617"
60398fd37997c2feb69bfeb6,Rivers,"4,175,796"
60398fd37997c2feb69bfeb7,Sokoto,"1,520,392"
60398fd37997c2feb69bfeb8,Taraba,"2,101,774"
60398fd37997c2feb69bfeb9,Yobe,"1,006,850"
60398fd37997c2feb69bfeba,Zamfara,"1,361,270"
60398fd37997c2feb69bfebb,"Fct, Abuja","1,579,381"